candidate_id,rank,score,reasoning
CAND_0072362,1,29.34,"Exceptional match. Brings 5.7 years as a Analytics Engineer with deep knowledge in Kubeflow, Rust, Illustrator. No major red flags detected in their behavioral signals."
CAND_0040443,2,27.3,"Standing out as a top-tier candidate, this Analytics Engineer offers 7.2 years of experience focusing on Rust, Salesforce CRM, Weights & Biases. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0037706,3,27.04,"Considered a premium profile primarily due to their 6.1 years of experience in Terraform, CSS, Milvus as a Data Analyst. Signals indicate they are highly engaged and available."
CAND_0036666,4,26.74,"Considered a top-tier candidate primarily due to their 6.2 years of experience in Java, gRPC, LlamaIndex as a QA Engineer. Shows prompt engagement metrics and good availability."
CAND_0049787,5,26.68,"Their 9.5 years in Full Stack Developer roles heavily feature Qdrant, Kubernetes, CSS. Exceptional match. Signals indicate they are highly engaged and available."
CAND_0004830,6,26.35,"They are a premium profile. A 6.1-year QA Engineer whose core strengths include Go, JavaScript, Angular. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0020586,7,26.06,"Exceptional match. Brings 4.5 years as a DevOps Engineer with deep knowledge in Qdrant, SAP, Excel. No major red flags detected in their behavioral signals."
CAND_0026597,8,25.99,"They are an outstanding fit. A 4.3-year Cloud Engineer whose core strengths include Java, AWS, Redis. No major red flags detected in their behavioral signals."
CAND_0036217,9,25.89,"Considered highly recommended primarily due to their 6.2 years of experience in REST APIs, Tailwind, ETL as a Frontend Engineer. No major red flags detected in their behavioral signals."
CAND_0071941,10,25.86,"A premium profile. A Software Engineer with 5.2 YOE, demonstrating expertise across FastAPI, Redux, Diffusion Models. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0099093,11,25.73,"Standing out as a reliable match, this Mechanical Engineer offers 5.3 years of experience focusing on Salesforce CRM, Snowflake, Excel. Shows prompt engagement metrics and good availability."
CAND_0069851,12,25.72,"A Project Manager with 7.9 YOE, demonstrating expertise across SQL, Excel, FastAPI. Great potential. Seems highly responsive and ready for the role."
CAND_0079102,13,25.69,"With 4.7 years as a Software Engineer, their strong background in Data Pipelines, Tally, Redis positions them as a good alignment. Shows prompt engagement metrics and good availability."
CAND_0085140,14,25.58,"With 9.5 years as a Full Stack Developer, their strong background in Diffusion Models, Django, Content Writing positions them as a strong contender. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0051532,15,25.56,"Great potential. A Data Engineer with 7.0 YOE, demonstrating expertise across Django, Image Classification, MLOps. Signals indicate they are highly engaged and available."
CAND_0067110,16,25.41,"Due to their solid 8.2 years working as a Mobile Developer with Python, Marketing, Deep Learning, they rank as a strong contender. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0050266,17,25.39,"With 8.8 years under their belt, this Mobile Developer stands out for GraphQL, Snowflake, Webpack. Reliable match. Seems highly responsive and ready for the role."
CAND_0005807,18,25.37,"Shows a strong foundation in JavaScript, GraphQL, CI/CD over a 9.7-year career as a Full Stack Developer. Solid profile. Seems highly responsive and ready for the role."
CAND_0041257,19,25.23,"Brings 13.0 years as a Customer Support with deep knowledge in CSS, Angular, Kubeflow. Great potential. No major red flags detected in their behavioral signals."
CAND_0058313,20,25.23,"Considered a great potential fit primarily due to their 4.5 years of experience in Node.js, Feature Engineering, Illustrator as a QA Engineer. Shows prompt engagement metrics and good availability."
CAND_0087592,21,25.18,"Due to their solid 4.0 years working as a Mechanical Engineer with Project Management, Six Sigma, Tailwind, they rank as a good alignment. No major red flags detected in their behavioral signals."
CAND_0083280,22,25.15,"They are a strong contender. A 5.1-year Java Developer whose core strengths include React, Django, YOLO. Seems highly responsive and ready for the role."
CAND_0013968,23,25.13,"Due to their solid 7.6 years working as a Mobile Developer with ETL, Information Retrieval, Project Management, they rank as a great potential fit. No major red flags detected in their behavioral signals."
CAND_0095431,24,25.03,"They are a great potential fit. A 4.7-year Civil Engineer whose core strengths include Flask, dbt, Spring Boot. Shows prompt engagement metrics and good availability."
CAND_0038225,25,25.02,"Leverages 6.1 years of background as a Cloud Engineer, particularly skilled in Embeddings, Spring Boot, Six Sigma. Reliable match. No major red flags detected in their behavioral signals."
CAND_0055508,26,25.01,"Brings 9.7 years as a Cloud Engineer with deep knowledge in FastAPI, CSS, Databricks. Strong contender. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0024733,27,24.97,"They are a strong contender. A 7.7-year Mechanical Engineer whose core strengths include Spark, Marketing, Angular. Signals indicate they are highly engaged and available."
CAND_0053138,28,24.95,"They are a solid profile. A 9.6-year DevOps Engineer whose core strengths include Illustrator, Tailwind, PostgreSQL. Seems highly responsive and ready for the role."
CAND_0087834,29,24.87,"Great potential. Shows a strong foundation in PostgreSQL, Node.js, gRPC over a 10.0-year career as a Customer Support. Signals indicate they are highly engaged and available."
CAND_0041057,30,24.8,"They are a good alignment. A 5.0-year .NET Developer whose core strengths include YOLO, Speech Recognition, Django. Shows prompt engagement metrics and good availability."
CAND_0084282,31,24.7,"Due to their solid 13.6 years working as a Customer Support with Sales, Java, Spark, they rank as a good alignment. Seems highly responsive and ready for the role."
CAND_0075792,32,24.63,"They are a good alignment. A 3.6-year Cloud Engineer whose core strengths include Microservices, Accounting, PowerPoint. Signals indicate they are highly engaged and available."
CAND_0068809,33,24.62,"They are a reliable match. A 8.4-year Software Engineer whose core strengths include Excel, AWS, SQL. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0034085,34,24.6,"With 4.2 years as a Cloud Engineer, their strong background in YOLO, Six Sigma, Photoshop positions them as a strong contender. Seems highly responsive and ready for the role."
CAND_0076697,35,24.6,"They are a solid profile. A 5.4-year Mobile Developer whose core strengths include Redux, Agile, Airflow. Seems highly responsive and ready for the role."
CAND_0032311,36,24.58,"Brings 6.4 years as a Cloud Engineer with deep knowledge in Illustrator, Excel, Milvus. Reliable match. Seems highly responsive and ready for the role."
CAND_0021695,37,24.57,"Their 9.0-year track record as a Civil Engineer with Agile, Redis, Salesforce CRM makes them a strong contender for the role. Signals indicate they are highly engaged and available."
CAND_0068632,38,24.53,"Considered a great potential fit primarily due to their 7.6 years of experience in HTML, dbt, Vue.js as a Cloud Engineer. No major red flags detected in their behavioral signals."
CAND_0022912,39,24.51,"Specializing in Marketing, MLflow, Scrum, this QA Engineer's 9.6 years of experience makes them a reliable match. Signals indicate they are highly engaged and available."
CAND_0091446,40,24.51,"With 9.5 years as a Mechanical Engineer, their strong background in Spark, SAP, Databricks positions them as a great potential fit. No major red flags detected in their behavioral signals."
CAND_0081488,41,24.49,"Their 7.7-year track record as a Mobile Developer with Snowflake, RAG, Data Pipelines makes them a reasonable candidate for the role. No major red flags detected in their behavioral signals."
CAND_0091713,42,24.47,"Brings 11.4 years as a Mechanical Engineer with deep knowledge in Sales, Apache Beam, Marketing. Has potential but lacks some depth. Signals indicate they are highly engaged and available."
CAND_0004026,43,24.45,"Reasonable candidate. Brings 5.4 years as a Software Engineer with deep knowledge in Project Management, Diffusion Models, Docker. Shows prompt engagement metrics and good availability."
CAND_0083454,44,24.45,"Shows a strong foundation in Azure, Go, Spring Boot over a 4.1-year career as a Civil Engineer. Has potential but lacks some depth. Shows prompt engagement metrics and good availability."
CAND_0015689,45,24.41,"Acceptable profile. Brings 4.1 years as a Java Developer with deep knowledge in MongoDB, Docker, Accounting. Seems highly responsive and ready for the role."
CAND_0014468,46,24.39,"Acceptable profile. Leverages 5.9 years of background as a Mobile Developer, particularly skilled in RAG, HTML, Image Classification. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0035584,47,24.39,"Their 7.4 years in Frontend Engineer roles heavily feature Next.js, Hadoop, Snowflake. Has potential but lacks some depth. Shows prompt engagement metrics and good availability."
CAND_0092368,48,24.39,"Reasonable candidate. Leverages 6.2 years of background as a Project Manager, particularly skilled in Kubernetes, Apache Flink, Terraform. No major red flags detected in their behavioral signals."
CAND_0007098,49,24.35,"Standing out as acceptable but lacking some depth, this Project Manager offers 8.5 years of experience focusing on Tailwind, Tally, React. Signals indicate they are highly engaged and available."
CAND_0099790,50,24.35,"With 7.1 years as a Software Engineer, their strong background in Photoshop, Apache Flink, PostgreSQL positions them as a moderate fit. Aligns cleanly with the JD without any obvious behavioral drawbacks."
CAND_0033577,51,24.3,"Their 4.2-year track record as a Mechanical Engineer with Docker, Next.js, Kubeflow makes them acceptable but lacking some depth for the role. While capable, other candidates offer more direct experience."
CAND_0013564,52,24.27,"Specializing in Weaviate, BentoML, Django, this Analytics Engineer's 2.1 years of experience makes them an acceptable profile. Outcompeted by peers on specific technical depth."
CAND_0075419,53,24.26,"Reasonable candidate. With 4.5 years under their belt, this Data Engineer stands out for ASR, Accounting, Redis. Doesn't quite match the strict technical density we want."
CAND_0019265,54,24.18,"Standing out as a moderate fit, this Cloud Engineer offers 9.0 years of experience focusing on CI/CD, Data Pipelines, SAP. Doesn't quite match the strict technical density we want."
CAND_0097005,55,24.15,"Acceptable profile. Brings 12.0 years as a Customer Support with deep knowledge in Figma, Tailwind, CI/CD. Doesn't quite match the strict technical density we want."
CAND_0016929,56,24.11,"Their 7.3-year track record as a Software Engineer with Apache Beam, Figma, CSS makes them acceptable but lacking some depth for the role. While capable, other candidates offer more direct experience."
